################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -1.83430653E-01  -1.83429699E-01
         1  -1.83430652E-01  -1.83429699E-01
         2  -1.83430652E-01  -1.83429699E-01
         3  -1.83430650E-01  -1.83429695E-01
         4  -1.83408003E-01  -1.83406746E-01
         5  -1.83408625E-01  -1.83407986E-01
         6  -1.83389688E-01  -1.83388871E-01
         7  -1.83417741E-01  -1.83416748E-01
         9  -1.83403388E-01  -1.83402687E-01
        10  -1.83430652E-01  -1.83429699E-01
        12  -1.83430650E-01  -1.83429695E-01
        13  -1.83408625E-01  -1.83407986E-01
        14  -1.83408003E-01  -1.83406746E-01
        15  -1.83389688E-01  -1.83388871E-01
        16  -1.83417706E-01  -1.83416882E-01
        17  -1.83417706E-01  -1.83416882E-01
        18  -1.83403499E-01  -1.83402473E-01
        19  -1.83430653E-01  -1.83429699E-01
        20  -1.83430122E-01  -1.83429172E-01
        21  -1.83430122E-01  -1.83429172E-01
        22  -1.83429394E-01  -1.83428420E-01
        23  -1.82833865E-01  -1.82832086E-01
        24  -1.82908853E-01  -1.82909109E-01
        26  -1.83115723E-01  -1.83115138E-01
        27  -1.83115723E-01  -1.83115138E-01
        28  -1.82735151E-01  -1.82736896E-01
        29  -1.83430122E-01  -1.83429172E-01
        31  -1.83429394E-01  -1.83428420E-01
        32  -1.82908853E-01  -1.82909109E-01
        34  -1.82405142E-01  -1.82407604E-01
        35  -1.83100905E-01  -1.83101670E-01
        36  -1.83100905E-01  -1.83101670E-01
        37  -1.82769695E-01  -1.82770266E-01
        38  -1.83430653E-01  -1.83429699E-01
        39  -1.83300788E-01  -1.83300130E-01
        40  -1.83300788E-01  -1.83300130E-01
        41  -1.83136950E-01  -1.83136454E-01
        42  -1.71952439E-01  -1.71966828E-01
        43  -1.76648090E-01  -1.76634898E-01
        44  -1.66725444E-01  -1.66749492E-01
        45  -1.78916806E-01  -1.78908361E-01
        46  -1.78916806E-01  -1.78908361E-01
        47  -1.72122270E-01  -1.72130413E-01
        48  -1.83300788E-01  -1.83300130E-01
        49  -1.83300788E-01  -1.83300130E-01
        50  -1.83136950E-01  -1.83136454E-01
        52  -1.71952439E-01  -1.71966828E-01
        53  -1.66725444E-01  -1.66749492E-01
        54  -1.78078409E-01  -1.78094652E-01
        55  -1.78078409E-01  -1.78094652E-01
        56  -1.74054225E-01  -1.74070498E-01
        57  -1.83430653E-01  -1.83429699E-01
        58  -1.82824976E-01  -1.82824756E-01
        59  -1.82824976E-01  -1.82824756E-01
        60  -1.82071875E-01  -1.82074276E-01
        61  -1.54860256E-01  -1.54846242E-01
        62  -1.70148528E-01  -1.70125414E-01
        63  -1.45284560E-01  -1.45264984E-01
        64  -1.74140939E-01  -1.74126469E-01
        65  -1.74140939E-01  -1.74126469E-01
        66  -1.59223285E-01  -1.59225175E-01
        67  -1.82824976E-01  -1.82824756E-01
        68  -1.82824976E-01  -1.82824756E-01
        69  -1.82071875E-01  -1.82074276E-01
        71  -1.54860256E-01  -1.54846242E-01
        72  -1.45284560E-01  -1.45264984E-01
        74  -1.71901435E-01  -1.71915126E-01
        75  -1.64291377E-01  -1.64308365E-01
