################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -1.83430653E-01  -1.83427943E-01
         1  -1.83430652E-01  -1.83427942E-01
         2  -1.83430652E-01  -1.83427942E-01
         3  -1.83430650E-01  -1.83427940E-01
         4  -1.83408003E-01  -1.83405202E-01
         5  -1.83408625E-01  -1.83406032E-01
         6  -1.83389688E-01  -1.83387120E-01
         7  -1.83417741E-01  -1.83415084E-01
         9  -1.83403388E-01  -1.83400740E-01
        10  -1.83430652E-01  -1.83427942E-01
        12  -1.83430650E-01  -1.83427940E-01
        13  -1.83408625E-01  -1.83406032E-01
        14  -1.83408003E-01  -1.83405202E-01
        15  -1.83389688E-01  -1.83387120E-01
        16  -1.83417706E-01  -1.83415030E-01
        17  -1.83417706E-01  -1.83415030E-01
        18  -1.83403499E-01  -1.83400898E-01
        19  -1.83430653E-01  -1.83427943E-01
        20  -1.83430122E-01  -1.83427409E-01
        21  -1.83430122E-01  -1.83427409E-01
        22  -1.83429394E-01  -1.83426704E-01
        23  -1.82833865E-01  -1.82831392E-01
        24  -1.82908853E-01  -1.82906639E-01
        26  -1.83115723E-01  -1.83113857E-01
        27  -1.83115723E-01  -1.83113857E-01
        28  -1.82735151E-01  -1.82734112E-01
        29  -1.83430122E-01  -1.83427409E-01
        31  -1.83429394E-01  -1.83426704E-01
        32  -1.82908853E-01  -1.82906639E-01
        34  -1.82405142E-01  -1.82406008E-01
        35  -1.83100905E-01  -1.83099383E-01
        36  -1.83100905E-01  -1.83099383E-01
        37  -1.82769695E-01  -1.82769337E-01
        38  -1.83430653E-01  -1.83427943E-01
        39  -1.83300788E-01  -1.83298304E-01
        40  -1.83300788E-01  -1.83298304E-01
        41  -1.83136950E-01  -1.83135266E-01
        42  -1.71952439E-01  -1.71969247E-01
        43  -1.76648090E-01  -1.76637883E-01
        44  -1.66725444E-01  -1.66757693E-01
        45  -1.78916806E-01  -1.78910415E-01
        46  -1.78916806E-01  -1.78910415E-01
        47  -1.72122270E-01  -1.72126826E-01
        48  -1.83300788E-01  -1.83298304E-01
        49  -1.83300788E-01  -1.83298304E-01
        50  -1.83136950E-01  -1.83135266E-01
        52  -1.71952439E-01  -1.71969247E-01
        53  -1.66725444E-01  -1.66757693E-01
        54  -1.78078409E-01  -1.78090547E-01
        55  -1.78078409E-01  -1.78090547E-01
        56  -1.74054225E-01  -1.74073481E-01
        57  -1.83430653E-01  -1.83427943E-01
        58  -1.82824976E-01  -1.82823041E-01
        59  -1.82824976E-01  -1.82823041E-01
        60  -1.82071875E-01  -1.82073685E-01
        61  -1.54860256E-01  -1.54853784E-01
        62  -1.70148528E-01  -1.70133502E-01
        63  -1.45284560E-01  -1.45288545E-01
        64  -1.74140939E-01  -1.74130385E-01
        65  -1.74140939E-01  -1.74130385E-01
        66  -1.59223285E-01  -1.59222964E-01
        67  -1.82824976E-01  -1.82823041E-01
        68  -1.82824976E-01  -1.82823041E-01
        69  -1.82071875E-01  -1.82073685E-01
        71  -1.54860256E-01  -1.54853784E-01
        72  -1.45284560E-01  -1.45288545E-01
        74  -1.71901435E-01  -1.71912145E-01
        75  -1.64291377E-01  -1.64315641E-01
