################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -1.83430653E-01  -1.83427043E-01
         1  -1.83430652E-01  -1.83427042E-01
         2  -1.83430652E-01  -1.83427042E-01
         3  -1.83430650E-01  -1.83427039E-01
         4  -1.83408003E-01  -1.83404557E-01
         5  -1.83408625E-01  -1.83404874E-01
         6  -1.83389688E-01  -1.83386203E-01
         7  -1.83417741E-01  -1.83414070E-01
         9  -1.83403388E-01  -1.83400035E-01
        10  -1.83430652E-01  -1.83427042E-01
        12  -1.83430650E-01  -1.83427039E-01
        13  -1.83408625E-01  -1.83404874E-01
        14  -1.83408003E-01  -1.83404557E-01
        15  -1.83389688E-01  -1.83386203E-01
        16  -1.83417706E-01  -1.83414229E-01
        17  -1.83417706E-01  -1.83414229E-01
        18  -1.83403499E-01  -1.83399768E-01
        19  -1.83430653E-01  -1.83427043E-01
        20  -1.83430122E-01  -1.83426477E-01
        21  -1.83430122E-01  -1.83426477E-01
        22  -1.83429394E-01  -1.83425758E-01
        23  -1.82833865E-01  -1.82831684E-01
        24  -1.82908853E-01  -1.82904450E-01
        26  -1.83115723E-01  -1.83112241E-01
        27  -1.83115723E-01  -1.83112241E-01
        28  -1.82735151E-01  -1.82733842E-01
        29  -1.83430122E-01  -1.83426477E-01
        31  -1.83429394E-01  -1.83425758E-01
        32  -1.82908853E-01  -1.82904450E-01
        34  -1.82405142E-01  -1.82404700E-01
        35  -1.83100905E-01  -1.83098824E-01
        36  -1.83100905E-01  -1.83098824E-01
        37  -1.82769695E-01  -1.82766931E-01
        38  -1.83430653E-01  -1.83427043E-01
        39  -1.83300788E-01  -1.83296842E-01
        40  -1.83300788E-01  -1.83296842E-01
        41  -1.83136950E-01  -1.83133464E-01
        42  -1.71952439E-01  -1.71973347E-01
        43  -1.76648090E-01  -1.76633309E-01
        44  -1.66725444E-01  -1.66756117E-01
        45  -1.78916806E-01  -1.78905270E-01
        46  -1.78916806E-01  -1.78905270E-01
        47  -1.72122270E-01  -1.72126217E-01
        48  -1.83300788E-01  -1.83296842E-01
        49  -1.83300788E-01  -1.83296842E-01
        50  -1.83136950E-01  -1.83133464E-01
        52  -1.71952439E-01  -1.71973347E-01
        53  -1.66725444E-01  -1.66756117E-01
        54  -1.78078409E-01  -1.78089723E-01
        55  -1.78078409E-01  -1.78089723E-01
        56  -1.74054225E-01  -1.74063390E-01
        57  -1.83430653E-01  -1.83427043E-01
        58  -1.82824976E-01  -1.82820802E-01
        59  -1.82824976E-01  -1.82820802E-01
        60  -1.82071875E-01  -1.82070348E-01
        61  -1.54860256E-01  -1.54865344E-01
        62  -1.70148528E-01  -1.70127683E-01
        63  -1.45284560E-01  -1.45291469E-01
        64  -1.74140939E-01  -1.74122236E-01
        65  -1.74140939E-01  -1.74122236E-01
        66  -1.59223285E-01  -1.59223019E-01
        67  -1.82824976E-01  -1.82820802E-01
        68  -1.82824976E-01  -1.82820802E-01
        69  -1.82071875E-01  -1.82070348E-01
        71  -1.54860256E-01  -1.54865344E-01
        72  -1.45284560E-01  -1.45291469E-01
        74  -1.71901435E-01  -1.71911515E-01
        75  -1.64291377E-01  -1.64300314E-01
