################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -2.54660281E+01  -2.54657910E+01
         1  -2.54670657E+01  -2.54670061E+01
         2  -2.54670487E+01  -2.54670071E+01
         3  -2.54670582E+01  -2.54670105E+01
         4  -2.54670582E+01  -2.54670105E+01
         5  -2.54629474E+01  -2.54621445E+01
         6  -2.54645149E+01  -2.54635798E+01
         8  -2.54649134E+01  -2.54636482E+01
         9  -2.54660808E+01  -2.54658223E+01
        10  -2.54660808E+01  -2.54658223E+01
        11  -2.54670487E+01  -2.54670071E+01
        12  -2.54670582E+01  -2.54670105E+01
        13  -2.54670582E+01  -2.54670105E+01
        14  -2.54629474E+01  -2.54621445E+01
        15  -2.54651761E+01  -2.54636457E+01
        16  -2.54645149E+01  -2.54635798E+01
        17  -2.54650153E+01  -2.54644086E+01
        18  -2.54660281E+01  -2.54657910E+01
        19  -2.54660281E+01  -2.54657910E+01
