################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -2.54660281E+01  -2.54659458E+01
         1  -2.54670657E+01  -2.54671058E+01
         2  -2.54670487E+01  -2.54670887E+01
         3  -2.54670582E+01  -2.54671004E+01
         4  -2.54670582E+01  -2.54671004E+01
         5  -2.54629474E+01  -2.54629501E+01
         6  -2.54645149E+01  -2.54645322E+01
         8  -2.54649134E+01  -2.54648852E+01
         9  -2.54660808E+01  -2.54659617E+01
        10  -2.54660808E+01  -2.54659617E+01
        11  -2.54670487E+01  -2.54670887E+01
        12  -2.54670582E+01  -2.54671004E+01
        13  -2.54670582E+01  -2.54671004E+01
        14  -2.54629474E+01  -2.54629501E+01
        15  -2.54651761E+01  -2.54651618E+01
        16  -2.54645149E+01  -2.54645322E+01
        17  -2.54650153E+01  -2.54648612E+01
        18  -2.54660281E+01  -2.54659458E+01
        19  -2.54660281E+01  -2.54659458E+01
