################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -1.33917078E+00  -1.12714515E+00
         1  -9.60769205E-01  -8.71634318E-01
         3  -7.43218016E-02  -1.01267199E-01
         4  -6.09187822E-01  -7.23896153E-01
         5  -7.83121240E-01  -7.26941140E-01
         6  -2.43720935E-01  -1.66284418E-01
         7   2.41651386E-01   5.11233373E-02
         8   9.42458027E-01   9.89229567E-01
         9   1.17669681E+00   1.32836528E+00
        10   1.36897745E+00   1.34527714E+00
        11   9.77738150E-01   1.02811913E+00
        12  -5.63178806E-01  -2.77539438E-01
        13  -5.89873730E-01  -4.03889731E-01
        14   1.73928150E-01   3.34018612E-01
        15  -5.46583732E-01  -5.42566769E-01
        16  -1.42033270E+00  -1.19873667E+00
        17   1.79101528E+00   1.40707106E+00
        18   1.70250389E+00   1.17649019E+00
        19  -3.21898708E-01  -1.14887791E-01
