################################################################################
# Energy comparison.
################################################################################
# Col  Name  Description
################################################################################
# 1    index Structure index.
# 2    Eref  Reference potential energy per atom (training units).
# 3    Ennp  NNP potential energy per atom (training units).
################################################################################
#        1                2                3
#    index             Eref             Ennp
############################################
         0  -1.33917078E+00  -9.16454143E-01
         1  -9.60769205E-01  -6.78562551E-01
         3  -7.43218016E-02  -7.62195434E-02
         4  -6.09187822E-01  -6.34841626E-01
         5  -7.83121240E-01  -6.77351977E-01
         6  -2.43720935E-01  -8.88625455E-02
         7   2.41651386E-01   1.14839401E-01
         8   9.42458027E-01   9.16156165E-01
         9   1.17669681E+00   1.18998624E+00
        10   1.36897745E+00   1.25454036E+00
        11   9.77738150E-01   1.04822934E+00
        12  -5.63178806E-01  -2.19487840E-01
        13  -5.89873730E-01  -4.01366466E-01
        14   1.73928150E-01   2.89567965E-01
        15  -5.46583732E-01  -4.83836691E-01
        16  -1.42033270E+00  -1.05718097E+00
        17   1.79101528E+00   1.21087206E+00
        18   1.70250389E+00   1.02814277E+00
        19  -3.21898708E-01  -1.20317313E-01
