################################################################################
# ES comparison.
################################################################################
# Col  Name   Description
################################################################################
# 1    index  Structure index.
# 2    Qref   Reference charge per atom.
# 3    Q      NNP charge per atom 
# 4    index  Structure index.
# 5    MuXRef Reference MuX per atom.
# 6    MuX    NNP MuX per atom 
# 7    MuYRef Reference MuY per atom.
# 8    MuY    NNP MuY per atom 
# 9    MuZRef Reference MuZ per atom.
# 10   MuZ    NNP MuZ per atom 
############################################################################################################################################################
#        1                2                3         4                5                6                7                8                9               10
#    index             Qref                Q     index           MuXRef              MuX           MuYRef              MuY           MuZRef              MuZ
############################################################################################################################################################
         0   0.00000000E+00  -7.81653088E-05         0   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.61788531E-01  -2.63065451E-01
         1   0.00000000E+00  -7.81919079E-05         1  -2.22943844E-03  -2.24147571E-03   0.00000000E+00  -4.40550405E-06  -2.61788531E-01  -2.63059715E-01
         2   0.00000000E+00  -7.81919079E-05         2  -2.22943844E-03  -2.24147571E-03   0.00000000E+00   4.40550405E-06  -2.61788531E-01  -2.63059715E-01
         3   0.00000000E+00  -7.90986652E-05         3   4.45887688E-03   4.48430598E-03   0.00000000E+00   0.00000000E+00  -2.61775416E-01  -2.63048283E-01
         4   0.00000000E+00  -1.39937113E-04         4   0.00000000E+00   0.00000000E+00  -1.61306428E-03  -1.58129264E-03  -2.62168846E-01  -2.63500217E-01
         5   0.00000000E+00  -1.46147839E-05         5   0.00000000E+00   0.00000000E+00  -1.61306428E-03  -1.56515368E-03  -2.61408215E-01  -2.62624339E-01
         6   0.00000000E+00  -7.68298928E-05         6   0.00000000E+00   0.00000000E+00   3.23924291E-03   3.14787096E-03  -2.61788531E-01  -2.63066035E-01
         7   0.00000000E+00  -1.32708875E-04         7   0.00000000E+00   0.00000000E+00  -4.85230720E-04  -5.14837492E-04  -2.62981936E-01  -2.64289666E-01
         8   0.00000000E+00  -1.32708875E-04         8   0.00000000E+00   0.00000000E+00   4.85230720E-04   5.14837492E-04  -2.62981936E-01  -2.64289666E-01
         9   0.00000000E+00   2.98151538E-05         9   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.59375491E-01  -2.60566107E-01
        10   0.00000000E+00  -7.81919079E-05        10   2.22943844E-03   2.24147571E-03   0.00000000E+00  -4.40550405E-06  -2.61788531E-01  -2.63059715E-01
        11   0.00000000E+00  -7.81919079E-05        11   2.22943844E-03   2.24147571E-03   0.00000000E+00   4.40550405E-06  -2.61788531E-01  -2.63059715E-01
        12   0.00000000E+00  -7.90986652E-05        12  -4.45887688E-03  -4.48430598E-03   0.00000000E+00   0.00000000E+00  -2.61775416E-01  -2.63048283E-01
        13   0.00000000E+00  -1.46147839E-05        13   0.00000000E+00   0.00000000E+00   1.61306428E-03   1.56515368E-03  -2.61408215E-01  -2.62624339E-01
        14   0.00000000E+00  -1.39937113E-04        14   0.00000000E+00   0.00000000E+00   1.61306428E-03   1.58129264E-03  -2.62168846E-01  -2.63500217E-01
        15   0.00000000E+00  -7.68298928E-05        15   0.00000000E+00   0.00000000E+00  -3.23924291E-03  -3.14787096E-03  -2.61788531E-01  -2.63066035E-01
        16   0.00000000E+00  -2.32505655E-05        16   0.00000000E+00   0.00000000E+00   4.72116376E-04   5.19121351E-04  -2.60582011E-01  -2.61821144E-01
        17   0.00000000E+00  -2.32505655E-05        17   0.00000000E+00   0.00000000E+00  -4.72116376E-04  -5.19121351E-04  -2.60582011E-01  -2.61821144E-01
        18   0.00000000E+00  -1.89028693E-04        18   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.64175341E-01  -2.65506131E-01
        19   0.00000000E+00  -7.81653088E-05        19   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00  -2.61788531E-01  -2.63065451E-01
        20   0.00000000E+00  -7.87593392E-05        20  -1.11471922E-02  -1.11980415E-02  -1.04914750E-04  -1.09938364E-04  -2.61657387E-01  -2.62922329E-01
        21   0.00000000E+00  -7.87593392E-05        21  -1.11471922E-02  -1.11980415E-02   1.04914750E-04   1.09938364E-04  -2.61657387E-01  -2.62922329E-01
        22   0.00000000E+00  -1.01520238E-04        22   2.22681557E-02   2.23881903E-02   0.00000000E+00   0.00000000E+00  -2.61355757E-01  -2.62637151E-01
        23   0.00000000E+00  -3.65249295E-04        23   0.00000000E+00   0.00000000E+00  -8.10466446E-03  -8.07968428E-03  -2.63690110E-01  -2.65166941E-01
        24   0.00000000E+00   2.53975769E-04        24   0.00000000E+00   0.00000000E+00  -8.06532142E-03  -7.67519454E-03  -2.59860722E-01  -2.60804720E-01
